CustomerID,FirstName,LastName,Email,Phone,Address
1,Customer1,Last1,customer1@email.com,555-0001,"1 Street, City2"
2,Customer2,Last2,customer2@email.com,555-0002,"2 Street, City3"
3,Customer3,Last3,customer3@email.com,555-0003,"3 Street, City4"
4,Customer4,Last4,customer4@email.com,555-0004,"4 Street, City5"
5,Customer5,Last5,customer5@email.com,555-0005,"5 Street, City1"
6,Customer6,Last6,customer6@email.com,555-0006,"6 Street, City2"
7,Customer7,Last7,customer7@email.com,555-0007,"7 Street, City3"
8,Customer8,Last8,customer8@email.com,555-0008,"8 Street, City4"
9,Customer9,Last9,customer9@email.com,555-0009,"9 Street, City5"
10,Customer10,Last10,customer10@email.com,555-0010,"10 Street, City1"
11,Customer11,Last11,customer11@email.com,555-0011,"11 Street, City2"
12,Customer12,Last12,customer12@email.com,555-0012,"12 Street, City3"
13,Customer13,Last13,customer13@email.com,555-0013,"13 Street, City4"
14,Customer14,Last14,customer14@email.com,555-0014,"14 Street, City5"
15,Customer15,Last15,customer15@email.com,555-0015,"15 Street, City1"
16,Customer16,Last16,customer16@email.com,555-0016,"16 Street, City2"
17,Customer17,Last17,customer17@email.com,555-0017,"17 Street, City3"
18,Customer18,Last18,customer18@email.com,555-0018,"18 Street, City4"
19,Customer19,Last19,customer19@email.com,555-0019,"19 Street, City5"
20,Customer20,Last20,customer20@email.com,555-0020,"20 Street, City1"
21,Customer21,Last21,customer21@email.com,555-0021,"21 Street, City2"
22,Customer22,Last22,customer22@email.com,555-0022,"22 Street, City3"
23,Customer23,Last23,customer23@email.com,555-0023,"23 Street, City4"
24,Customer24,Last24,customer24@email.com,555-0024,"24 Street, City5"
25,Customer25,Last25,customer25@email.com,555-0025,"25 Street, City1"
26,Customer26,Last26,customer26@email.com,555-0026,"26 Street, City2"
27,Customer27,Last27,customer27@email.com,555-0027,"27 Street, City3"
28,Customer28,Last28,customer28@email.com,555-0028,"28 Street, City4"
29,Customer29,Last29,customer29@email.com,555-0029,"29 Street, City5"
30,Customer30,Last30,customer30@email.com,555-0030,"30 Street, City1"
31,Customer31,Last31,customer31@email.com,555-0031,"31 Street, City2"
32,Customer32,Last32,customer32@email.com,555-0032,"32 Street, City3"
33,Customer33,Last33,customer33@email.com,555-0033,"33 Street, City4"
34,Customer34,Last34,customer34@email.com,555-0034,"34 Street, City5"
35,Customer35,Last35,customer35@email.com,555-0035,"35 Street, City1"
36,Customer36,Last36,customer36@email.com,555-0036,"36 Street, City2"
37,Customer37,Last37,customer37@email.com,555-0037,"37 Street, City3"
38,Customer38,Last38,customer38@email.com,555-0038,"38 Street, City4"
39,Customer39,Last39,customer39@email.com,555-0039,"39 Street, City5"
40,Customer40,Last40,customer40@email.com,555-0040,"40 Street, City1"
41,Customer41,Last41,customer41@email.com,555-0041,"41 Street, City2"
42,Customer42,Last42,customer42@email.com,555-0042,"42 Street, City3"
43,Customer43,Last43,customer43@email.com,555-0043,"43 Street, City4"
44,Customer44,Last44,customer44@email.com,555-0044,"44 Street, City5"
45,Customer45,Last45,customer45@email.com,555-0045,"45 Street, City1"
46,Customer46,Last46,customer46@email.com,555-0046,"46 Street, City2"
47,Customer47,Last47,customer47@email.com,555-0047,"47 Street, City3"
48,Customer48,Last48,customer48@email.com,555-0048,"48 Street, City4"
